index,propertyCode,price,log_price,nom_comar,municipality,propertyType,size,cat_size,rooms,bathrooms,floor_grouped,hasLift,latitude,longitude
0,108933600,300000.0,12.611541086966115,Baix Llobregat,Esplugues de Llobregat,flat,78.0,Mediana,4,1,3-4,1,41.3704537,2.0839784
1,108932312,650000.0,13.384729180332174,Vallès Occidental,Santa Perpètua de Mogoda,chalet,243.0,Muy Grande,4,3,0,0,41.5257469,2.1927191
2,108932560,570000.0,13.25339339419516,Maresme,Pineda de Mar,duplex,208.0,Muy Grande,4,3,5+,1,41.617925,2.6736527
3,108933084,390600.0,12.875441857585288,Maresme,Cabrils,chalet,166.0,Muy Grande,3,2,0,0,41.514466,2.3819174
4,108933074,250000.0,12.429220196836383,Anoia,Masquefa,chalet,212.0,Muy Grande,4,2,0,0,41.4892032,1.807568
5,108932967,265000.0,12.487488878546145,Maresme,Canet de Mar,flat,60.0,Mediana,3,1,0,0,41.5942885,2.578565
6,108932909,357000.0,12.785493861878301,Barcelonès,Barcelona,flat,93.0,Grande,3,1,3-4,1,41.4170175,2.1802075
7,108932717,339900.0,12.736409677721657,Vallès Occidental,Terrassa,chalet,160.0,Muy Grande,4,2,0,0,41.5637541,2.0304902
8,108922966,218000.0,12.292254928916668,Maresme,Calella,duplex,100.0,Grande,3,2,2,1,41.6144797,2.6585522
9,108932597,249000.0,12.425212191503038,Vallès Occidental,Rubí,flat,70.0,Mediana,3,1,0,1,41.4884553,2.0261454
10,108865445,548000.0,13.214032390746006,Barcelonès,Barcelona,flat,103.0,Grande,3,2,3-4,1,41.3826399,2.154208
11,108932326,370000.0,12.821260987319457,Barcelonès,Barcelona,flat,92.0,Grande,3,1,1,1,41.4303873,2.1844865
12,100379096,430000.0,12.971542813248437,Garraf,Vilanova i la Geltrú,chalet,250.0,Muy Grande,3,2,0,0,41.2271186,1.7288377
14,108932177,379000.0,12.84529412258351,Barcelonès,Barcelona,flat,87.0,Mediana,2,1,0,1,41.3932882,2.1893886
15,108931892,470000.0,13.060490101343552,Barcelonès,Barcelona,flat,107.0,Grande,3,2,5+,1,41.3784321,2.1293502
16,107476078,499000.0,13.120363378739663,Barcelonès,Barcelona,flat,80.0,Mediana,3,1,3-4,1,41.3866634,2.1376082
17,108869680,447000.0,13.010316110729669,Barcelonès,Badalona,flat,106.0,Grande,3,2,5+,1,41.4474726,2.2377358
18,108869676,477000.0,13.07527386630434,Barcelonès,Badalona,flat,104.0,Grande,3,2,5+,1,41.4498314,2.2390133
19,108869679,477000.0,13.07527386630434,Barcelonès,Badalona,flat,104.0,Grande,3,2,5+,1,41.4477441,2.2401016
20,108869678,487000.0,13.096021455450709,Barcelonès,Badalona,flat,104.0,Grande,3,2,5+,1,41.4473435,2.2396943
21,108869659,442000.0,12.999067423500716,Barcelonès,Badalona,flat,99.0,Grande,3,2,5+,1,41.4491599,2.2405426
22,108869664,472000.0,13.064736383209516,Barcelonès,Badalona,flat,99.0,Grande,3,2,5+,1,41.4473734,2.2381278
23,108869660,437000.0,12.987690762404629,Barcelonès,Badalona,flat,99.0,Grande,3,2,5+,1,41.4496762,2.2370045
24,108931814,350000.0,12.765691290604371,Maresme,Montgat,countryHouse,313.0,Muy Grande,5,4,0,0,41.4700845,2.2723524
25,108931628,265000.0,12.487488878546145,Vallès Occidental,Sabadell,flat,90.0,Mediana,3,1,5+,1,41.5503089,2.0996622
27,104538725,465000.0,13.049794835104816,Vallès Occidental,Ullastrell,chalet,199.0,Muy Grande,3,2,0,0,41.5283433,1.9807083
28,108931478,309000.0,12.6410997921206,Barcelonès,Badalona,penthouse,75.0,Mediana,3,1,0,0,41.4534591,2.256015
29,108931432,169700.0,12.04179334395687,Barcelonès,Badalona,flat,73.0,Mediana,2,1,3-4,1,41.4374732,2.2226711
30,108928880,139750.0,11.847617546626807,Berguedà,Gironella,flat,80.0,Mediana,3,2,1,0,42.0365742,1.8802084
31,108915240,385000.0,12.861001210669146,Alt Penedès,Torrelavit,chalet,344.0,Muy Grande,4,3,0,0,41.4450826,1.7307046
32,108931293,575000.0,13.26212705890841,Barcelonès,Barcelona,flat,89.0,Mediana,2,2,3-4,1,41.3793191,2.1461674
33,108931305,210000.0,12.25486757159303,Baix Llobregat,Esparreguera,flat,80.0,Mediana,3,2,2,1,41.5335444,1.8717242
